Stkcd	Accper	Typrep	Indcd	F040202B	F040302B	F040502B	F040602B	F040802B	F040902B	F041002B	F041202B	F041402B	F041502B	F041702B	F041802B	Indnme
股票代码	截止日期	报表类型编码	行业代码	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	营运资金（资本）周转率B	现金及现金等价物周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B	总资产周转率B	股东权益周转率B	行业名称
000020	2019-12-31	A	C39	5.647016	64.635907	9.765668	37.375835	7.474394	10.727345	22.337071	2.265756	3.735604	2.428138	1.172069	2.208637	计算机、通信和其他电子设备制造业
000020	2019-12-31	B	C39			493.355784	0.739831	0.679786	3.790121	5.432239	0.358131	0.386734	0.118222	0.088882	0.128771	计算机、通信和其他电子设备制造业
000020	2020-12-31	A	C39	5.185093	70.586969	8.943264	40.924656	5.921392	6.323842	20.743125	2.11369	3.530781	2.355235	1.113967	2.078313	计算机、通信和其他电子设备制造业
000020	2020-12-31	B	C39			458.179131	0.798814	0.631317	0.821584	26.770438	0.380566	0.38201	0.11609	0.088955	0.124512	计算机、通信和其他电子设备制造业
000021	2016-12-31	A	C39	7.797432	46.938531	15.354069	23.837329	12.503437	11.910702	8.991768	1.697854	6.476151	3.629356	1.156725	2.869496	计算机、通信和其他电子设备制造业
000021	2016-12-31	B	C39	4.208955	86.957451	20.023719	18.278323	7.036812	6.220142	7.756402	1.011119	8.633315	0.881072	0.470813	0.777083	计算机、通信和其他电子设备制造业
000021	2017-12-31	A	C39	7.347295	49.678147	9.97048	36.608067	9.511028	15.33276	10.567059	1.538055	5.710167	2.888383	1.003627	2.531564	计算机、通信和其他电子设备制造业
000021	2017-12-31	B	C39	3.035724	120.234909	14.145528	25.803208	4.442812	8.416617	5.692431	0.628576	5.682688	0.446855	0.261181	0.427363	计算机、通信和其他电子设备制造业
000021	2018-12-31	A	C39	10.140667	35.993688	7.964522	45.828237	9.601266	17.014382	9.392323	1.508369	6.41724	2.842539	0.985449	2.529578	计算机、通信和其他电子设备制造业
000021	2018-12-31	B	C39	3.119488	117.006381	12.039797	30.316126	3.294247		3.211268	0.511966	4.874885	0.26961	0.176606	0.290839	计算机、通信和其他电子设备制造业
000021	2019-12-31	A	C39	7.835912	46.580411	5.366299	68.017082	6.248709	13.619546	8.196663	1.197292	5.002633	2.139664	0.767707	1.90656	计算机、通信和其他电子设备制造业
