Stkcd	Accper	Typrep	Indcd	F010101A	F010201A	F010501A	F011201A	F011601A	F011801A	F011901A	Indnme
股票代码	截止日期	报表类型编码	行业代码	流动比率	速动比率	营运资金与借款比	资产负债率	权益乘数	权益对负债比率	长期资本负债率	行业名称
000030	2019-12-31	A	C36	1.497576	1.291366	7.565147	0.423117	1.733453	1.363413	0.110499	汽车制造业
000030	2019-12-31	B	C36	1.959992	1.758743		0.26165	1.35437	2.821906	0.05382	汽车制造业
000030	2020-12-31	A	C36	1.528329	1.325554	12.217406	0.427812	1.747678	1.337474	0.112962	汽车制造业
000030	2020-12-31	B	C36	1.739851	1.557383		0.29327	1.414968	2.409824	0.057433	汽车制造业
000045	2016-12-31	A	C39	6.105373	5.52638	27.060817	0.164936	1.197513	5.062965	0.052352	计算机、通信和其他电子设备制造业
000045	2016-12-31	B	C39	3.671218	3.671218		0.048872	1.051383	19.461757	0	计算机、通信和其他电子设备制造业
000045	2017-12-31	A	C39	5.760446	5.206958	18.427756	0.160336	1.190952	5.23692	0.047263	计算机、通信和其他电子设备制造业
000045	2017-12-31	B	C39	3.770829	3.770829		0.053258	1.056254	17.776575	0.000305	计算机、通信和其他电子设备制造业
000045	2018-12-31	A	C39	2.930836	2.500436	4.793898	0.251066	1.33523	2.983023	0.038358	计算机、通信和其他电子设备制造业
000045	2018-12-31	B	C39	3.795157	3.795157		0.056559	1.05995	16.680599	0.000264	计算机、通信和其他电子设备制造业
000045	2019-12-31	A	C39	4.585641	3.778932		0.149354	1.175578	5.695486	0.047261	计算机、通信和其他电子设备制造业
000045	2019-12-31	B	C39	4.463896	4.463896		0.071073	1.076511	13.069977	0.022599	计算机、通信和其他电子设备制造业
000045	2020-12-31	A	C39	3.966579	3.103686	4.818204	0.215358	1.274467	3.643429	0.116262	计算机、通信和其他电子设备制造业
000045	2020-12-31	B	C39	5.109203	5.109132		0.057662	1.061191	16.342306	0.018763	计算机、通信和其他电子设备制造业
000045	2021-12-31	A	C39	3.72326	2.684753	2.428941	0.278864	1.386701	2.585975	0.183378	计算机、通信和其他电子设备制造业
000045	2021-12-31	B	C39	5.420888	5.420601		0.061311	1.065316	15.310244	0.01921	计算机、通信和其他电子设备制造业
000049	2016-12-31	A	C38	1.247171	0.975102	1.978871	0.708479	3.430288	0.411474	0.001099	电气机械及器材制造业
000049	2016-12-31	B	C38	101.871232	101.871232		0.006258	1.006297	158.797172	0	电气机械及器材制造业
000049	2017-12-31	A	C38	1.114531	0.789003	0.597761	0.761753	4.197323	0.312762	0.000187	电气机械及器材制造业
000049	2017-12-31	B	C38	71.811816	71.811816		0.007991	1.008055	124.141186	0	电气机械及器材制造业
000049	2018-12-31	A	C38	1.211484	0.807055	0.980717	0.743297	3.895547	0.345358	0.097409	电气机械及器材制造业
000049	2018-12-31	B	C38	50.745744	50.745744		0.011484	1.011617	86.080745	0	电气机械及器材制造业
000049	2019-12-31	A	C38	1.342388	0.966055	1.745053	0.673751	3.065146	0.484227	0.161999	电气机械及器材制造业
000049	2019-12-31	B	C38	8.098952	8.098952		0.062455	1.066615	15.011615	0	电气机械及器材制造业
000049	2020-12-31	A	C38	1.189614	0.907695	1.658171	0.687771	3.202774	0.453973	0.062845	电气机械及器材制造业
000049	2020-12-31	B	C38	8.700003	8.700003		0.032034	1.033094	30.216812	0	电气机械及器材制造业
000049	2021-12-31	A	C38	1.269756	0.872248	1.277415	0.681789	3.142568	0.46673	0.198528	电气机械及器材制造业
000049	2021-12-31	B	C38	13.00088	13.00088		0.020961	1.02141	46.707249	0	电气机械及器材制造业
000050	2016-12-31	A	C39	1.737195	1.536947	3.088041	0.365342	1.575652	1.73716	0.154629	计算机、通信和其他电子设备制造业
000050	2016-12-31	B	C39	1.214987	1.180339	0.733756	0.296701	1.42187	2.370399	0.088514	计算机、通信和其他电子设备制造业
000050	2017-12-31	A	C39	1.104049	0.946889	0.158625	0.511848	2.048544	0.953703	0.255918	计算机、通信和其他电子设备制造业
000050	2017-12-31	B	C39	1.200846	1.163742	0.365236	0.391855	1.644346	1.551962	0.117766	计算机、通信和其他电子设备制造业
000050	2018-12-31	A	C39	0.766249	0.601555	-0.294361	0.566855	2.308695	0.76412	0.366701	计算机、通信和其他电子设备制造业
000050	2018-12-31	B	C39	1.228002	1.173709	0.360286	0.257854	1.347443	2.878171	0.117035	计算机、通信和其他电子设备制造业
000050	2019-12-31	A	C39	0.70542	0.541838	-0.312851	0.591951	2.450686	0.689329	0.407064	计算机、通信和其他电子设备制造业
000050	2019-12-31	B	C39	1.187942	1.144092	0.332102	0.346998	1.53139	1.881857	0.188837	计算机、通信和其他电子设备制造业
000050	2020-12-31	A	C39	0.850262	0.649901	-0.137073	0.543647	2.191285	0.83943	0.403177	计算机、通信和其他电子设备制造业
000050	2020-12-31	B	C39	1.732883	1.678443	1.182314	0.318851	1.468107	2.136264	0.190281	计算机、通信和其他电子设备制造业
000050	2021-12-31	A	C39	0.82327	0.647404	-0.1875	0.566435	2.306461	0.765427	0.413166	计算机、通信和其他电子设备制造业
000050	2021-12-31	B	C39	1.655988	1.587677	1.163622	0.378217	1.608279	1.643983	0.241351	计算机、通信和其他电子设备制造业
000063	2016-12-31	A	C39	1.242047	0.946971	1.091409	0.711347	3.464366	0.405784	0.194877	计算机、通信和其他电子设备制造业
000063	2016-12-31	B	C39	0.941479	0.776567	-0.625163	0.84141	6.305585	0.188481	0.142306	计算机、通信和其他电子设备制造业
000063	2017-12-31	A	C39	1.202431	0.910972	1.028192	0.684777	3.172361	0.460329	0.158885	计算机、通信和其他电子设备制造业
000063	2017-12-31	B	C39	0.984566	0.820586	-0.167204	0.788598	4.730318	0.268074	0.161813	计算机、通信和其他电子设备制造业
000063	2018-12-31	A	C39	1.064655	0.777857	0.215982	0.745184	3.924396	0.341951	0.217858	计算机、通信和其他电子设备制造业
000063	2018-12-31	B	C39	0.88384	0.717395	-0.705024	0.839776	6.241278	0.190793	0.274465	计算机、通信和其他电子设备制造业
000063	2019-12-31	A	C39	1.215193	0.887145	0.495029	0.731206	3.72032	0.367604	0.331768	计算机、通信和其他电子设备制造业
000063	2019-12-31	B	C39	1.025624	0.823677	0.129597	0.801151	5.028933	0.248205	0.325405	计算机、通信和其他电子设备制造业
000063	2020-12-31	A	C39	1.479431	1.013528	1.045038	0.693813	3.265974	0.441311	0.411141	计算机、通信和其他电子设备制造业
000063	2020-12-31	B	C39	1.167387	0.976257	0.658725	0.771363	4.373754	0.296406	0.378573	计算机、通信和其他电子设备制造业
000063	2021-12-31	A	C39	1.683761	1.205555	1.336427	0.684246	3.167026	0.461462	0.425901	计算机、通信和其他电子设备制造业
000063	2021-12-31	B	C39	1.362022	1.141707	1.275641	0.688644	3.211753	0.45213	0.338798	计算机、通信和其他电子设备制造业
000066	2016-12-31	A	C39	1.286735	1.274156	6.374206	0.767378	4.298815	0.303139	0.114993	计算机、通信和其他电子设备制造业
000066	2016-12-31	B	C39	1.929249	1.825614	0.987434	0.524585	2.103424	0.90627	0.34358	计算机、通信和其他电子设备制造业
000066	2017-12-31	A	C39	1.475957	1.172357	0.99409	0.502777	2.011168	0.988955	0.231305	计算机、通信和其他电子设备制造业
000066	2017-12-31	B	C39	0.780046	0.71421	-0.329145	0.387973	1.633915	1.577498	0.194369	计算机、通信和其他电子设备制造业
000066	2018-12-31	A	C39	1.31949	1.042785	0.701333	0.584406	2.406195	0.711139	0.246965	计算机、通信和其他电子设备制造业
000066	2018-12-31	B	C39	0.596479	0.543885	-0.515029	0.50932	2.037989	0.963401	0.240652	计算机、通信和其他电子设备制造业
000066	2019-12-31	A	C39	1.459383	1.080473	0.71661	0.600809	2.505069	0.664421	0.282622	计算机、通信和其他电子设备制造业
000066	2019-12-31	B	C39	0.816742	0.504213	-0.178448	0.57059	2.328776	0.752572	0.306991	计算机、通信和其他电子设备制造业
000066	2020-12-31	A	C39	1.584179	1.105915	1.146428	0.660481	2.945345	0.514048	0.408819	计算机、通信和其他电子设备制造业
