股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	净资产收益率B	投入资本回报率	投资收益率	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B
300685	2018-12-31	A	C27	0.181289	0.167466	0.180289	0.157091	0.067547	2.66163	137.134012	3.311639	110.217327	3.47987	0.817327	3.203292	1.998849
300685	2019-12-31	A	C27	0.156994	0.14524	0.163336	0.132311	-0.054259	2.740718	133.176781	3.567438	102.314322	3.7793	0.849052	4.014556	2.29887
300685	2020-12-31	A	C27	0.178718	0.154147	0.177609	0.165058	0.002317	2.650345	138.095229	4.919974	74.390637	6.224743	0.806557	4.629227	2.730619
300702	2017-12-31	A	C27	0.083933	0.055324	0.105735	0.072955	0.201165	5.726047	63.743801	1.802651	202.47957	3.83025	1.161598	2.029902	1.508226
300702	2018-12-31	A	C27	0.082669	0.069114	0.119718	0.077889	0.507911	5.629783	64.83376	1.647328	221.570932	3.432414	1.032274	2.301877	1.54923
300702	2020-12-31	A	C27	0.208697	0.172595	0.238924	0.163042	0.541933	7.266731	50.366527	1.340264	273.080527	3.892264	1.17827	2.344692	1.550295
300723	2019-12-31	A	C27	0.108142	0.07972	0.107981	0.091299	0.31865	7.567293	48.233893	4.594759	79.438334	18.400644	1.366556	9.162789	2.776784
300723	2020-12-31	A	C27	0.143926	0.113522	0.157733	0.124505	1.014692	10.130684	36.127867	3.08205	118.752129	7.72222	1.403743	9.686341	2.157802
300832	2020-12-31	A	C27	0.256294	0.214334	0.236472	0.200582	0.025101	9.885629	37.023441	1.439154	254.316077	6.571574	0.664155	3.769861	2.038407
300841	2020-12-31	A	C27	0.332619	0.287679	0.320151	0.200216	0.012347	3.301605	110.855175	1.275489	286.94877	13.410294	0.88139	13.664698	4.327634
300871	2020-12-31	A	C27	0.143327	0.12501	0.170881	0.091374	0.000894	5.186166	70.572365	4.903638	74.638462	6.397727	1.057986	5.268004	1.667272
300942	2020-12-31	A	C27	0.133318	0.102863	0.121506	0.132808	2.514181	3.787425	96.635577	1.370271	267.100449	5.087963	0.471699	6.967728	2.925339
430047	2014-12-31	A	C27	-0.097756	-0.094621	-0.127537	-0.083588	0.090782	25.909278	14.087618	0.246283	1482.034895	110.542857	0.019139	0.247532	0.008598
430047	2015-12-31	A	C27	-0.120445	-0.112625	-0.156703	-0.122995	-0.134182	90.678728	4.0252	0.896044	407.346068	0.710239	0.015919	0.282361	0.007626
430047	2017-12-31	A	C27	-0.188338	-0.200362	-0.330133	-0.209108	0	308.858671	1.18177	1.517368	240.548107	0.943288	0.218098	0.074338	0.031622
430047	2020-12-31	A	C27	-0.079772	-0.079084	-0.096333	-0.059139	0	13.444239	27.223556	2.004193	182.617143	0.952717	0.333304	0.782541	0.317171
600056	2013-12-31	A	C27	0.0683	0.042359	0.146072	0.083422	0.027877	4.460132	81.836143	3.487542	104.658238	4.683724	1.480603	11.461014	5.600743
600056	2014-12-31	A	C27	0.066736	0.045468	0.131203	0.084517	0.020009	4.713834	77.431662	3.983661	91.624262	5.122993	1.66561	12.732319	6.433177
600056	2015-12-31	A	C27	0.065848	0.047347	0.124779	0.083486	0.033025	4.720543	77.321613	4.398905	82.975195	4.951205	1.668115	13.814783	7.218811
600056	2016-12-31	A	C27	0.082986	0.062703	0.163043	0.11039	0.026022	4.619729	79.225426	5.128018	71.372604	4.769613	1.751976	18.037151	8.171656
600056	2017-12-31	A	C27	0.101947	0.075222	0.183544	0.137353	0.367553	4.270911	85.46186	5.621278	64.931854	4.441031	1.793034	19.168968	8.092284
600056	2018-12-31	A	C27	0.105366	0.077723	0.188928	0.138319	19.127008	3.636249	100.378164	5.007946	72.884172	4.276623	1.618521	17.051586	7.261059
600056	2019-12-31	A	C27	0.066943	0.045495	0.118702	0.077078	-0.021821	3.43515	106.254458	5.142053	70.983321	5.078984	1.631087	19.651477	5.924578
600056	2020-12-31	A	C27	0.069263	0.043985	0.119341	0.08255	0.015849	3.538512	103.433308	5.051167	72.458503	5.679891	1.652554	24.180756	5.089645
600062	2010-12-31	A	C27	0.123942	0.107432	0.142881	0.117956	0.095849	8.79071	41.521106	5.229012	69.802861	9.670299	1.770338	4.02678	2.781109
600062	2011-12-31	A	C27	0.123782	0.097061	0.133096	0.110204	0.195079	7.857556	46.452103	6.051865	60.311986	9.773412	1.836332	4.593427	2.880135
