Stkcd	Accper	Typrep	Indcd	F050102B	F050202B	F050302B	F050402B	F050502B	F051201B	F053201B	F053301B	F051301B	F051401B	F051501B	F051701B	F051801B	F051901B	F053202B	F053401B	Indnme
股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	流动资产净利润率B	固定资产净利润率B	净资产收益率B	投入资本回报率	长期资本收益率	营业毛利率	营业成本率	营业利润率	营业净利率	销售费用率	管理费用率	财务费用率	投资收益率	研发费用率	行业名称
600750	2021-12-31	A	C27	0.11001	0.097233	0.144679	0.519376	0.120209	0.107617	0.133447	0.643402	0.356598	0.217812	0.184744	0.358897	0.057422	-0.007801	-0.001337	0.030559	医药制造业
600760	2016-12-31	A	C36	0.025634	0.009172	0.021574	0.025461	0.03598	0.039791	0.080915	0.056589	0.943411	-0.051585	0.016878	0.042603	0.080126	0.02959	0.278251		汽车制造业
600760	2017-12-31	A	C36	0.034867	0.029108	0.040043	0.225933	0.11543	0.082109	0.114706	0.095143	0.904857	0.040474	0.036155	0.001791	0.052292	0.00176	0.189893		汽车制造业
600760	2018-12-31	A	C37	0.028327	0.027194	0.035384	0.239365	0.096127	0.066334	0.088527	0.090906	0.909094	0.042932	0.036996	0.000758	0.037596	-0.004359	-0.062812	0.008517	铁路、船舶、航空航天和其它运输设备制造业
600760	2019-12-31	A	C37	0.032927	0.030541	0.039367	0.250466	0.100483	0.072056	0.098258	0.088982	0.911018	0.042728	0.037059	0.000438	0.032733	-0.002723	-0.082586	0.00919	铁路、船舶、航空航天和其它运输设备制造业
600760	2020-12-31	A	C37	0.055406	0.047801	0.060228	0.403456	0.147204	0.093237	0.159395	0.092339	0.907661	0.063755	0.054315	0.00042	0.026088	-0.000671	0.400032	0.010529	铁路、船舶、航空航天和其它运输设备制造业
600760	2021-12-31	A	C37	0.033751	0.035479	0.040978	0.453788	0.146655	0.093024	0.129951	0.097619	0.902381	0.054982	0.049767	0.000618	0.023742	-0.007342		0.019435	铁路、船舶、航空航天和其它运输设备制造业
600761	2016-12-31	A	C35	0.089582	0.075863	0.117609	0.286247	0.105579	0.088015	0.119137	0.225104	0.774896	0.082228	0.074098	0.058627	0.077086	-0.001606	0.231417		专用设备制造业
600761	2017-12-31	A	C35	0.093384	0.077099	0.112753	0.344293	0.111726	0.093664	0.129601	0.198845	0.801155	0.073998	0.061894	0.049717	0.069394	-0.000354	0.298804		专用设备制造业
600761	2018-12-31	A	C35	0.1116	0.0963	0.139581	0.450568	0.143271	0.116456	0.15588	0.203108	0.796892	0.085966	0.073625	0.047802	0.033903	-0.002052	0.28069	0.040738	专用设备制造业
600761	2019-12-31	A	C35	0.118303	0.101083	0.148242	0.490847	0.150651	0.122798	0.165712	0.212999	0.787001	0.087018	0.076702	0.048657	0.033988	0.000258	0.054597	0.048611	专用设备制造业
600761	2020-12-31	A	C35	0.109055	0.094238	0.13452	0.496732	0.146833	0.111863	0.156485	0.177248	0.822752	0.074483	0.065197	0.033871	0.027257	-0.000701	0.035864	0.042133	专用设备制造业
600761	2021-12-31	A	C35	0.08352	0.073362	0.101887	0.431629	0.126738	0.084833	0.129886	0.160984	0.839016	0.056909	0.050933	0.033716	0.025755	-0.000399	0.01742	0.046167	专用设备制造业
600764	2016-12-31	A	C39	0.019886	0.015768	0.029787	0.214668	0.031054	0.028276	0.037	0.254881	0.745119	0.50007	0.070951	0.022319	0.200367	0.008623	0.295528		计算机、通信和其他电子设备制造业
600764	2017-12-31	A	C39	0.090401	0.074444	0.106473	0.284176	0.11529	0.071454	0.134275	0.436209	0.563791	0.304791	0.247883	0.026079	0.200182	0.000432			计算机、通信和其他电子设备制造业
600764	2018-12-31	A	C39	0.050651	0.043706	0.058086	0.219734	0.060873	0.054207	0.067869	0.497135	0.502865	0.229814	0.19253	0.017076	0.179927	-0.011267		0.052149	计算机、通信和其他电子设备制造业
600764	2019-12-31	A	C39	0.110231	0.092808	0.10983	0.897967	0.158316	0.139922	0.177489	0.363172	0.636828	0.188594	0.165023	0.025983	0.07503	0.007133		0.065577	计算机、通信和其他电子设备制造业
