Stkcd	Accper	Indcd	F100101B	F100201B	F100301B	F100401A	F100901A	F100902A	F100903A	F100904A	Indnme
股票代码	截止日期	行业代码	市盈率1	市销率1	市现率1	市净率	托宾Q值A	托宾Q值B	托宾Q值C	托宾Q值D	行业名称
000403	2016-12-31	C27	218.682376	15.935583	143.121279	16.995747	5.540934	5.870763	7.577344	8.028393	医药制造业
000403	2017-12-31	C27	531.578674	11.823739		14.946778	6.518178	6.881985	6.725939	7.101342	医药制造业
000403	2018-12-31	C27	91.586888	7.982273	58.846126	11.079488	5.611985	5.924585	5.739094	6.058774	医药制造业
000403	2019-12-31	C27	55.780473	9.615239	46.133431	10.983299	7.266071	7.589671	7.293164	7.617971	医药制造业
000403	2020-12-31	C27	102.431306	17.822503	96.040594	19.352973	11.622929	12.102299	11.737884	12.221995	医药制造业
000404	2016-12-31	C34	14.140289	0.80347	28.63085	1.721858	1.288655	1.315624	1.289556	1.316544	通用设备制造业
000404	2017-12-31	C34	20.640524	0.539531		1.104766	1.041399	1.074208	1.041606	1.074421	通用设备制造业
000404	2018-12-31	C34	16.40282	0.301493	15.588138	0.637439	0.848913	0.889822	0.848618	0.889512	通用设备制造业
000404	2019-12-31	C34	27.487983	0.286696	3.513561	0.64511	0.852719	0.890114	0.852428	0.88981	通用设备制造业
000404	2020-12-31	C34	19.420709	0.337578	6.301389	0.799043	0.919028	0.948627	0.918867	0.948462	通用设备制造业
000404	2021-12-31	C34	11.26796	0.247307	2.042146	0.706702	0.88457	0.908897	0.884532	0.908858	通用设备制造业
000408	2017-12-31	C26	28.998734	11.121309		5.400257	1.831771	1.91979	4.712904	4.939364	化学原料及化学制品制造业
000408	2018-12-31	C26	26.312643	8.345322	25.19046	3.008689	1.35647	1.405249	2.591291	2.684475	化学原料及化学制品制造业
000408	2019-12-31	C26	47.732834	7.289409	53.120321	1.860982	1.16764	1.206323	1.705908	1.762423	化学原料及化学制品制造业
000408	2020-12-31	C26	69.773023	8.389956		2.017166	1.220388	1.261571	1.928022	1.993084	化学原料及化学制品制造业
000408	2021-12-31	C26	56.614484	22.306697	39.704886	8.547694	2.613419	2.707821	7.716004	7.994722	化学原料及化学制品制造业
000410	2016-12-31	C34		1.637897		12.410591	1.366461	1.429044	1.379164	1.442329	通用设备制造业
000410	2017-12-31	C34	68.950354	1.783379		7.317166	1.291318	1.335292	1.30125	1.345563	通用设备制造业
000410	2018-12-31	C34		0.963156		32.166928	1.221964	1.272344	1.229496	1.280187	通用设备制造业
000410	2019-12-31	C34		11.443814		10.46226	2.435484	2.608682	2.43815	2.611537	通用设备制造业
000410	2020-12-31	C34		4.62655		17.896496	2.054121	2.228524	2.056078	2.230647	通用设备制造业
000413	2016-12-31	C39	42.443765	8.059848	40.015583	2.411159	1.42553	1.444412	1.664853	1.686904	计算机、通信和其他电子设备制造业
000413	2017-12-31	C39	27.722186	3.100405	42.463955	1.67668	1.222921	1.290898	1.30336	1.375809	计算机、通信和其他电子设备制造业
000413	2018-12-31	C39	11.365394	0.914022	66.41595	0.771501	0.903347	0.955796	0.888807	0.940412	计算机、通信和其他电子设备制造业
000413	2019-12-31	C39		1.098403		0.610925	0.833206	0.873778	0.813749	0.853373	计算机、通信和其他电子设备制造业
000413	2020-12-31	C39		2.081142	7.186303	0.512673	0.802414	0.871994	0.779289	0.846863	计算机、通信和其他电子设备制造业
000418	2016-12-31	C38	15.223698	1.25143	5.246823	2.937452	1.6052	1.621711	1.608492	1.625037	电气机械及器材制造业
000418	2017-12-31	C38	25.119284	2.006776	21.289452	5.221798	2.345006	2.365743	2.350373	2.371157	电气机械及器材制造业
000418	2018-12-31	C38	12.836772	1.157303	10.421414	2.806065	1.671224	1.684229	1.673711	1.686735	电气机械及器材制造业
000420	2016-12-31	C28	332.079262	5.511402		2.853908	1.349044	1.383525	2.080505	2.133682	化学纤维制造业
000420	2017-12-31	C28	72.210395	2.806556	194.804093	2.218877	1.462749	1.518964	1.548271	1.607773	化学纤维制造业
000420	2018-12-31	C28	26.597055	1.461263	21.142474	1.282625	1.097508	1.138298	1.115551	1.157012	化学纤维制造业
000420	2019-12-31	C28	42.589293	1.582094	56.806822	1.409872	1.137054	1.170811	1.145958	1.17998	化学纤维制造业
000420	2020-12-31	C28		1.639431	40.182277	1.316806	1.070457	1.099936	1.070495	1.099975	化学纤维制造业
000422	2016-12-31	C26		0.470167	2.909097	1.04879	1.008348	1.026286	1.008349	1.026287	化学原料及化学制品制造业
000422	2017-12-31	C26		0.306412	3.012704	2.336685	1.064373	1.086213	1.064377	1.086217	化学原料及化学制品制造业
000422	2018-12-31	C26	8.264955	0.202527	15.633074	1.333041	1.027092	1.053012	1.027094	1.053014	化学原料及化学制品制造业
000422	2019-12-31	C26	24.528593	0.177613	1.155263	2.277145	1.063146	1.081526	1.06315	1.08153	化学原料及化学制品制造业
000422	2020-12-31	C26	13.421229	0.20813	2.279015	2.138533	1.069476	1.087394	1.06948	1.087399	化学原料及化学制品制造业
000422	2021-12-31	C26	9.202141	1.031788	5.229732	4.821355	1.726731	1.749493	1.726778	1.74954	化学原料及化学制品制造业
000423	2016-12-31	C27	18.991636	5.577234	56.410008	4.20124	3.697573	3.767492	3.698209	3.76814	医药制造业
000423	2017-12-31	C27	19.284725	5.346725	22.429794	3.993096	3.386824	3.479534	3.387387	3.480112	医药制造业
000423	2018-12-31	C27	12.396473	3.524862	25.634583	2.283215	2.047885	2.112177	2.048132	2.112432	医药制造业
000423	2019-12-31	C27		7.818755		2.307951	2.124674	2.205107	2.124939	2.205382	医药制造业
000423	2020-12-31	C27	617.96057	7.425617	31.613503	2.589459	2.418855	2.520822	2.41919	2.521171	医药制造业
000423	2021-12-31	C27	72.641989	8.283624	11.383313	3.189832	2.882363	2.98769	2.882363	2.98769	医药制造业
000425	2016-12-31	C35	109.358988	1.402273	10.549011	1.156459	1.072721	1.119047	1.072868	1.1192	专用设备制造业
000425	2017-12-31	C35	31.538658	1.113785	10.289105	1.348772	1.168235	1.216715	1.168575	1.21707	专用设备制造业
000425	2018-12-31	C35	12.308872	0.569753	7.647309	0.833959	0.926571	0.961129	0.917751	0.951979	专用设备制造业
000425	2019-12-31	C35	11.754661	0.724114	8.34376	1.273552	1.106333	1.141741	1.119081	1.154897	专用设备制造业
000425	2020-12-31	C35	11.230741	0.568715	15.082072	1.23108	1.076809	1.106875	1.086017	1.116341	专用设备制造业
000510	2016-12-31	C26	137.153422	4.856291	28.614057	8.791829	5.620587	5.899627	5.995733	6.293397	化学原料及化学制品制造业
000510	2017-12-31	C26	127.345017	3.11615	119.073598	6.145252	3.709911	3.866948	4.004354	4.173854	化学原料及化学制品制造业
000510	2018-12-31	C26	23.273842	1.156904	11.481284	2.505284	1.874044	1.958467	1.969012	2.057714	化学原料及化学制品制造业
000510	2019-12-31	C26	39.15015	1.092767	36.95143	2.413024	1.831135	1.903534	1.921441	1.997411	化学原料及化学制品制造业
000510	2020-12-31	C26	37.717331	1.289048	14.567448	2.598088	1.86896	1.931039	1.963376	2.028591	化学原料及化学制品制造业
000513	2016-12-31	C27	30.522315	3.310466	19.801942	3.564907	1.95849	2.03622	2.730919	2.839307	医药制造业
000513	2017-12-31	C27	8.19177	4.309267	27.937677	3.272517	2.010093	2.057572	2.605802	2.667351	医药制造业
000513	2018-12-31	C27	15.303282	2.040945	14.266181	1.53909	1.231488	1.256509	1.363257	1.390955	医药制造业
000513	2019-12-31	C27	21.553083	3.356689	17.826032	2.566264	1.681348	1.713043	2.069524	2.108536	医药制造业
000513	2020-12-31	C27	17.953997	3.637295	17.709428	2.805396	1.766195	1.795801	2.195958	2.232769	医药制造业
000513	2021-12-31	C27	19.318444	3.125993	19.823897	2.63514	1.674483	1.702126	2.045978	2.079753	医药制造业
000518	2016-12-31	C27	1630.060658	27.931829	789.519681	14.960782	9.385637	10.072166	9.385804	10.072346	医药制造业
000518	2017-12-31	C27	661.215298	20.349863		10.42442	7.833725	8.237267	7.833862	8.23741	医药制造业
000518	2018-12-31	C27		9.006669	157.854141	5.541777	4.153127	4.340465	4.15319	4.340531	医药制造业
000518	2019-12-31	C27	213.606503	8.943488	63.740983	5.659864	4.359714	4.531738	4.359781	4.531808	医药制造业
000518	2020-12-31	C27	190.600275	10.430023	52.590521	7.69483	6.567739	6.807653	6.56785	6.807768	医药制造业
000519	2017-12-31	C35	114.956697	2.894877	25.74387	1.836503	1.268801	1.347344	1.647234	1.749203	专用设备制造业
000519	2018-12-31	C35	25.391741	1.782097	5.889808	1.12286	1.048546	1.107094	1.092675	1.153687	专用设备制造业
000519	2019-12-31	C35	41.577252	1.993994	11.634388	1.295941	1.147386	1.205256	1.220066	1.281602	专用设备制造业
000519	2020-12-31	C35	50.821139	2.158968	7.737629	1.638205	1.446446	1.51015	1.446788	1.510507	专用设备制造业
000521	2016-12-31	C38	32.832051	0.577056	7.335787	1.399246	1.081847	1.137694	1.127675	1.185887	电气机械及器材制造业
000521	2017-12-31	C38	146.728905	0.315293		1.02694	0.989368	1.03971	0.990042	1.040419	电气机械及器材制造业
000521	2018-12-31	C38	88.657783	0.176786		0.60208	0.870803	0.919089	0.860692	0.908418	电气机械及器材制造业
